symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2016-02-18 00:00:00+00:00,96.26,98.89,96.091,98.84,39020983,22.4127190752,23.0250757256,22.3733699216,23.0134339642,156083932,0.0,1.0
AAPL,2016-02-19 00:00:00+00:00,96.04,96.7599,95.8,96.0,35374173,22.361495325,22.5291134058,22.3056148702,22.3521819158,141496692,0.0,1.0
AAPL,2016-02-22 00:00:00+00:00,96.88,96.9,95.92,96.31,34280758,22.5570769167,22.5617336213,22.3335550976,22.4243608366,137123032,0.0,1.0
AAPL,2016-02-23 00:00:00+00:00,94.69,96.5,94.55,96.4,31942633,22.0471677668,22.46859953,22.0145708348,22.4453160071,127770532,0.0,1.0
AAPL,2016-02-24 00:00:00+00:00,96.1,96.38,93.32,93.98,36255745,22.3754654386,22.4406593026,21.728183504,21.8818547547,145022980,0.0,1.0
AAPL,2016-02-25 00:00:00+00:00,96.76,96.76,95.25,96.05,27582659,22.5291366893,22.5291366893,22.1775554946,22.3638236772,110330636,0.0,1.0
AAPL,2016-02-26 00:00:00+00:00,96.91,98.0237,96.58,97.2,28991131,22.5640619736,22.8233705673,22.4872263482,22.6315841898,115964524,0.0,1.0
AAPL,2016-02-29 00:00:00+00:00,96.69,98.23,96.65,96.86,35216277,22.5128382233,22.8714044749,22.5035248142,22.5524202121,140865108,0.0,1.0
AAPL,2016-03-01 00:00:00+00:00,100.53,100.77,97.42,97.65,50407147,23.4069255,23.4628059548,22.68280794,22.7363600425,201628588,0.0,1.0
AAPL,2016-03-02 00:00:00+00:00,100.75,100.89,99.64,100.51,33169560,23.4581492502,23.4907461822,23.1997021468,23.4022687954,132678240,0.0,1.0
AAPL,2016-03-03 00:00:00+00:00,101.5,101.7099,100.45,100.58,36955742,23.6327756714,23.6816477858,23.3882986817,23.4185672614,147822968,0.0,1.0
AAPL,2016-03-04 00:00:00+00:00,103.01,103.75,101.37,102.37,46055100,23.9843568661,24.1566549351,23.6025070917,23.83534232,184220400,0.0,1.0
AAPL,2016-03-07 00:00:00+00:00,101.87,102.83,100.96,102.39,35915810,23.7189247059,23.942446525,23.5070446481,23.8399990246,143663240,0.0,1.0
AAPL,2016-03-08 00:00:00+00:00,101.03,101.76,100.4,100.78,31182194,23.5233431141,23.6933128308,23.3766569203,23.465134307,124728776,0.0,1.0
AAPL,2016-03-09 00:00:00+00:00,101.12,101.58,100.27,101.31,27201683,23.5442982847,23.6514024897,23.3463883406,23.588536978,108806732,0.0,1.0
AAPL,2016-03-10 00:00:00+00:00,101.17,102.24,100.15,101.41,33513577,23.5559400461,23.8050737403,23.3184481132,23.6118205009,134054308,0.0,1.0
